File version	
File path	C:\Users\Vincent\Desktop\Data\AbductionRight_9397.csv
Subject's name	001
Subject's age	30
Subject's height	170
Subject's weight	70
Time start	12/11/2020 - 11:20:34.949
Configuration information	
samplingRatesIndex	6	accelActive	1	gyroActive	1	magActive	1	ecgActive	0	emgActive	0	gsrActive	0	anex0Active	0	anex7Active	0	strainActive	0	heartActive	0	VReg	0	PMux	0	accelRangeIndex	1	gsrRangeIndex	1






TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132521268415382964,3053,2273,2308,2023,1931,1939,-780,121,173
132521268415455157,3177,2258,2359,2052,1936,1933,-780,121,173
132521268415571987,3190,2265,2399,2081,1916,1921,-780,121,173
132521268416257072,3236,2279,2437,2111,1886,1921,-796,120,122
132521268416271385,3273,2352,2483,2140,1866,1931,-796,120,122
132521268416572710,3327,2350,2524,2159,1799,1936,-796,120,122
132521268416655128,3352,2320,2497,2168,1629,1919,-796,120,122
132521268416745890,3397,2335,2464,2211,1472,1888,-812,111,67
132521268417031787,3385,2361,2343,2279,1431,1854,-812,111,67
132521268417155774,3392,2370,2224,2325,1494,1837,-812,111,67
132521268417303461,3341,2408,2199,2343,1553,1825,-821,120,-9
132521268417572901,3331,2410,2174,2338,1555,1851,-821,120,-9
132521268417645171,3274,2337,2127,2343,1528,1859,-821,120,-9
132521268417946925,3290,2300,2103,2359,1523,1842,-821,120,-9
132521268417956600,3207,2356,2087,2358,1527,1839,-783,158,-101
132521268418180343,3166,2370,2086,2372,1611,1872,-783,158,-101
132521268418547646,3138,2315,2070,2386,1723,1897,-783,158,-101
132521268418555482,3133,2251,2173,2394,1768,1903,-717,175,-198
132521268418746442,3099,2252,2172,2359,1695,1898,-717,175,-198
132521268419046517,3030,2215,2199,2334,1593,1893,-717,175,-198
132521268419075172,2987,2170,2204,2331,1565,1869,-717,175,-198
132521268419521483,2896,2239,2141,2337,1578,1857,-649,191,-252
132521268420121692,2786,2249,2077,2322,1603,1865,-649,191,-252
132521268420205896,2733,2209,2076,2309,1667,1880,-649,191,-252
132521268420234210,2655,2230,2116,2289,1707,1884,-597,207,-281
132521268420245838,2583,2183,2154,2264,1705,1891,-597,207,-281
132521268420255781,2509,2194,2153,2254,1663,1888,-597,207,-281
132521268420546317,2413,2143,2090,2249,1632,1884,-597,207,-281
132521268420746804,2333,2131,2030,2251,1625,1868,-562,219,-320
132521268420846240,2269,2205,1990,2207,1623,1852,-562,219,-320
132521268421144176,2169,2192,1981,2164,1609,1880,-562,219,-320
132521268421382754,2084,2084,1940,2152,1627,1895,-517,242,-346
132521268421447254,1978,2089,1877,2130,1622,1888,-517,242,-346
132521268421744779,1917,2054,1834,2078,1619,1888,-517,242,-346
132521268421882348,1911,1985,1853,2030,1658,1891,-517,242,-346
132521268422047347,1870,1952,1907,2000,1690,1871,-482,275,-351
132521268422343927,1850,1988,1901,1963,1664,1855,-482,275,-351
132521268422456346,1882,1999,1958,1930,1669,1851,-482,275,-351
132521268422632626,1863,2039,2001,1892,1680,1847,-472,279,-342
132521268423065595,1863,2075,2067,1850,1685,1858,-472,279,-342
132521268423082887,1904,2101,2104,1829,1714,1881,-472,279,-342
132521268423433724,1989,2074,2148,1820,1727,1873,-472,279,-342
132521268423779591,1984,2044,2160,1780,1725,1890,-483,294,-336
132521268423791811,2016,2015,2163,1772,1750,1896,-483,294,-336
132521268423996767,2079,2022,2132,1748,1763,1879,-483,294,-336
132521268424098980,2163,2024,2231,1701,1734,1866,-506,283,-327
132521268424347632,2218,2097,2328,1674,1707,1901,-506,283,-327
132521268424483769,2284,2031,2355,1698,1755,1910,-506,283,-327
132521268424582604,2313,1998,2363,1702,1831,1918,-506,283,-327
132521268424834159,2343,2033,2348,1701,1840,1903,-534,274,-298
132521268425033845,2405,2051,2361,1675,1780,1886,-534,274,-298
132521268425240489,2471,2047,2451,1635,1732,1876,-534,274,-298
132521268425657298,2478,2162,2459,1629,1670,1868,-564,268,-273
132521268425670236,2528,2150,2467,1641,1711,1907,-564,268,-273
132521268425879855,2567,2054,2466,1659,1800,1929,-564,268,-273
132521268425944009,2617,2066,2471,1662,1802,1907,-564,268,-273
132521268426233303,2655,2087,2465,1653,1693,1893,-595,257,-248
132521268426440213,2645,2095,2416,1646,1641,1891,-595,257,-248
132521268426733486,2688,2098,2408,1646,1744,1933,-595,257,-248
132521268426742333,2715,2070,2441,1655,1808,1943,-625,255,-210
132521268427270588,2749,2011,2367,1658,1724,1921,-625,255,-210
132521268427284189,2834,1960,2311,1667,1637,1889,-625,255,-210
132521268427584399,2828,1981,2293,1643,1651,1888,-664,260,-173
132521268427592307,2787,2058,2281,1648,1642,1865,-664,260,-173
132521268427745980,2751,2115,2190,1634,1602,1890,-664,260,-173
